ticker;rank;index;ROIC;EBIT/EV;EV;EBIT;WC;FA;STD;EC;P;V;Market;Sector;Name
MKD;0;38;8,666244897959183;1,0907818074303304;-194652128;-212323000,0;-29420000,0;4920000,0;109353000,0;-73836250,0;0,36;90777346;us_market;Chemicals;Molecular Data Inc.
SBS;1;74;5,66915756163145;0,2675685795347495;18044170240;4828053000,0;540708000,0;310927000,0;2969026000,0;230214695,0;6,41;340005149;us_market;Utilities—Regulated Water;Companhia de Saneamento Básico do Estado de São Paulo - SABESP
GBL;2;118;2,45626221353704;0,22610285036867472;611504896;138263000,0;48038000,0;8252000,0;24215000,0;30139817,5;27,0;5120297;us_market;Asset Management;GAMCO Investors, Inc.
BRDG;3;129;1,382230790825173;0,2892180565815369;578827968;167407500,0;116956000,0;4158000,0;16458000,0;98518510,0;18,64;22030601;us_market;REIT—Diversified;Bridge Investment Group Holdings Inc.
OMAB;4;130;1,0298776884024137;1,1336388683055625;3074246656;3485085500,0;505264000,0;2878716000,0;3013502000,0;2886475380,0;48,88;33453857;us_market;Airports & Air Services;Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.
SONY;5;133;1,1162720931568666;0,4336830170236482;1971243319296;854894750000,0;-596680000000,0;1362528000000,0;125011000000,0;1203615010000,0;122,65;1221287982;us_market;Consumer Electronics;Sony Group Corporation
ASR;6;134;1,156818555650319;0,3528666381547663;17877952512;6308533000,0;4948962000,0;504385000,0;1138750000,0;5049011930,0;204,43;16866600;us_market;Airports & Air Services;Grupo Aeroportuario del Sureste, S. A. B. de C. V.
RGA;7;134;3,8324652777777777;0,14629475181840182;7544699904;1103750000,0;144000000,0;144000000,0;;3272280000,0;119,85;67263352;us_market;Insurance—Reinsurance;Reinsurance Group of America, Incorporated
RDN;8;156;8,184026851604873;0,12715263815130354;5791197184;736366000,0;30843000,0;59133000,0;67500000,0;74264477,5;22,09;190594321;us_market;Insurance—Specialty;Radian Group Inc.
GTX;9;157;1,0865384615384615;0,2449280898064345;1845439616;452000000,0;-125000000,0;541000000,0;;560117500,0;7,01;37194454;us_market;Auto Parts;Garrett Motion Inc.
GTXAP;10;158;1,0865384615384615;0,23682894079501154;1908550528;452000000,0;-125000000,0;541000000,0;;560117500,0;8,0;37194454;us_market;Auto Parts;Garrett Motion Inc.
CIXX;11;185;9,690090804850646;0,11295805867228505;7406578688;836632750,0;-11259000,0;97598000,0;203805000,0;462295572,5;23,81;183097446;us_market;Asset Management;CI Financial Corp.
PRG;12;202;2,381571843586909;0,12344463701786498;3001701888;370544000,0;119765000,0;35823000,0;;11475547,5;46,55;64743911;us_market;Rental & Leasing Services;PROG Holdings, Inc.
SIGA;13;215;0,7758237292176962;0,22991838947924684;456307712;104913534,25;133124581,0;2103990,0;;116287679,6725;7,37;40693368;us_market;Biotechnology;SIGA Technologies, Inc.
MO;14;223;159,86742424242425;0,09747752972439054;108242894848;10551250000,0;-1946000000,0;2012000000,0;1500000000,0;4745605000,0;44,61;1834968134;us_market;Tobacco;Altria Group, Inc.
KARO;15;227;0,5997901988353155;0,9840663693613247;627703936;617702333,3333334;-107328000,0;1137192000,0;5462000,0;85186520,0;34,78;6980403;us_market;Software—Application;Karooooo Ltd.
WW;16;236;2,3377545531391686;0,11080777027275895;2745403136;304212000,0;-40907000,0;171037000,0;105283000,0;151855767,5;18,08;49480032;us_market;Personal Services;WW International, Inc.
ABEV;17;240;0,597443303900555;0,4506821027785617;35305840640;15911710500,0;1864650000,0;24768355000,0;2332767000,0;16569048182,5;3,14;4398220262;us_market;Beverages—Brewers;Ambev S.A.
RMAX;18;242;0,6932893186061307;0,1850770266581084;359150464;66470500,0;49127000,0;46750000,0;2428000,0;98968415,0;31,02;16225874;us_market;Real Estate Services;RE/MAX Holdings, Inc.
UONEK;19;254;0,5587099172943855;0,4694489418123268;209663376;98426250,0;116057000,0;60110000,0;23362000,0;69153987,5;4,45;20956851;us_market;Broadcasting;Urban One, Inc.
INVA;20;256;0,742715253470486;0,15543576623197278;1605386624;249534500,0;335948000,0;28000,0;;243796922,5;17,74;56815434;us_market;Biotechnology;Innoviva, Inc.
BIIB;21;263;0,8650156659084081;0,13129054041343644;46052061184;6046200000,0;3144900000,0;3844800000,0;;1197326750,0;280,41;146488757;us_market;Drug Manufacturers—General;Biogen Inc.
